,movie,name,point
555,극장판 공룡메카드: 타이니소어의 섬,spin****,10
556,스윙키즈,wlgu****,10
557,내안의 그놈,tjdt****,10
558,마약왕,teah****,8
559,미래의 미라이,atmo****,1
560,글래스,fres****,10
561,글래스,coq1****,8
562,언니,guan****,2
563,극장판 공룡메카드: 타이니소어의 섬,rose****,8
564,내안의 그놈,wows****,7
565,말모이,jaej****,10
566,글래스,dhrl****,10
567,글래스,tjkw****,8
568,글래스,qkrd****,1
569,글래스,nino****,7
570,스윙키즈,sidk****,4
571,신비한 동물들과 그린델왈드의 범죄,dac3****,8
572,주먹왕 랄프 2: 인터넷 속으로,kwok****,10
573,주먹왕 랄프 2: 인터넷 속으로,dac3****,8
574,말모이,sd02****,10
575,말모이,jmrj****,9
576,내안의 그놈,kum2****,10
577,글래스,qsxw****,10
578,언더독,zooz****,10
579,말모이,ksh_****,10
580,말모이,tale****,10
581,메이트,make****,6
582,극장판 공룡메카드: 타이니소어의 섬,dudg****,10
583,미래의 미라이,kjsu****,10
584,감옥정사,styl****,5
585,언니,whit****,4
586,글래스,cc0m****,10
587,글래스,s10o****,10
588,글래스,lhfj****,9
589,글래스,czto****,10
590,글래스,thar****,10
591,글래스,xwib****,10
592,스윙키즈,haye****,10
593,허삼관,kang****,10
594,스윙키즈,godl****,10
595,글래스,xfd3****,10
596,타샤 튜더,nina****,10
597,말모이,tara****,10
598,언더독,wkd8****,10
599,마녀,schn****,8
600,스윙키즈,tlsw****,10
601,내안의 그놈,cktn****,6
602,보헤미안 랩소디,lko0****,10
603,클레멘타인,tjdd****,10
604,곡성(哭聲),sant****,10
605,내안의 그놈,airo****,5
606,말모이,7513****,10
607,말모이,phpp****,10
608,말모이,phot****,10
609,마약왕,ciao****,10
610,글래스,old1****,7
611,미션 임파서블: 폴아웃,oldp****,9
612,글래스,berr****,8
613,아바타,go26****,2
614,내안의 그놈,kca1****,1
615,안시성,cine****,4
616,국가부도의 날,oldp****,8
617,헌터 킬러,rogh****,8
618,아쿠아맨,ehrm****,8
619,왕이 될 아이,just****,10
620,말모이,jomo****,10
621,글래스,suni****,2
622,바이 미,cty1****,3
623,좋은 친구들,hyuk****,10
624,드래곤 길들이기,kfri****,10
625,보헤미안 랩소디,ksb0****,10
626,아쿠아맨,juhy****,10
